filename,processed_at,confidence,completeness,cost_usd,flags_count,flag_lines_math,flag_sum_ht,flag_math_ttc,flag_tva_rate,flag_iban_format,flag_date_paradox,numero_facture,date_facture,fournisseur,montant_ht,tva,montant_ttc,iban,echeance,lignes_json
good-minimal.pdf,2026-05-14T22:05:25,95,100,0.000508,1,,0.00 vs 410.00,,,,,INV-2024-0004,2024-06-30,IT SOLUTIONS PRO,410.0,82.0,492.0,FR76 3000 4028 3700 0100 7890 143,2024-08-14,"[{""description"": ""Fourniture et pose robinetterie"", ""qty"": 1, ""pu_ht"": null, ""total_ht"": 180.0}, {""description"": ""Joint et pièces diverses"", ""qty"": 1, ""pu_ht"": null, ""total_ht"": 35.0}, {""description"": ""Main d'oeuvre (3h)"", ""qty"": 3, ""pu_ht"": null, ""total_ht"": 195.0}]"
good-centered.pdf,2026-05-14T22:05:47,98,100,0.000492,0,,,,,,,FC-2024-0006,2024-10-13,TRANSPORT GIRARD & CIE,545.0,54.5,599.5,FR76 3000 4028 3700 0100 7890 143,2024-12-12,"[{""description"": ""Nettoyage locaux (mensuel)"", ""qty"": 1, ""pu_ht"": 480.0, ""total_ht"": 480.0}, {""description"": ""Produits d'entretien"", ""qty"": 1, ""pu_ht"": 65.0, ""total_ht"": 65.0}]"
good-classic.pdf,2026-05-14T22:05:52,95,100,0.000494,0,,,,,,,FAC-2024-0001,2024-01-03,FOURNITURES BUREAU DELTA,1190.0,65.45,1255.45,FR76 1420 6600 0120 0336 7890 071,2024-03-03,"[{""description"": ""Abonnement logiciel Pro (12 mois)"", ""qty"": 1, ""pu_ht"": 990.0, ""total_ht"": 990.0}, {""description"": ""Support technique prioritaire"", ""qty"": 1, ""pu_ht"": 200.0, ""total_ht"": 200.0}]"
good-condensed.pdf,2026-05-14T22:05:56,95,100,0.000516,0,,,,,,,FAC-2024-0008,2024-05-25,PLOMBERIE MARTIN & FILS,410.0,22.55,432.55,FR76 3000 6000 0112 3456 7890 189,2024-07-09,"[{""description"": ""Fourniture et pose robinetterie"", ""qty"": 1, ""pu_ht"": 180.0, ""total_ht"": 180.0}, {""description"": ""Joint et pièces diverses"", ""qty"": 1, ""pu_ht"": 35.0, ""total_ht"": 35.0}, {""description"": ""Main d'oeuvre (3h)"", ""qty"": 3, ""pu_ht"": 65.0, ""total_ht"": 195.0}]"
good-modern.pdf,2026-05-14T22:06:01,95,100,0.000492,0,,,,,,,INV-2024-0002,2024-10-29,CATERING & CO,545.0,54.5,599.5,FR76 1420 6600 0120 0336 7890 071,2024-12-13,"[{""description"": ""Nettoyage locaux (mensuel)"", ""qty"": 1, ""pu_ht"": 480.0, ""total_ht"": 480.0}, {""description"": ""Produits d'entretien"", ""qty"": 1, ""pu_ht"": 65.0, ""total_ht"": 65.0}]"
good-oldschool.pdf,2026-05-14T22:06:06,95,100,0.000517,0,,,,,,,F-2024-0007,2024-07-27,PLOMBERIE MARTIN & FILS,1800.0,99.0,1899.0,FR76 1027 8060 0001 0290 5412 086,2024-09-10,"[{""description"": ""Création site internet"", ""qty"": 1, ""pu_ht"": 1200.0, ""total_ht"": 1200.0}, {""description"": ""Référencement SEO (6 mois)"", ""qty"": 1, ""pu_ht"": 480.0, ""total_ht"": 480.0}, {""description"": ""Hébergement annuel"", ""qty"": 1, ""pu_ht"": 120.0, ""total_ht"": 120.0}]"
good-two_col.pdf,2026-05-14T22:06:35,95,100,0.000515,0,,,,,,,INV-2024-0003,2024-02-16,PLOMBERIE MARTIN & FILS,565.0,113.0,678.0,FR76 3000 6000 0112 3456 7890 189,2024-03-17,"[{""description"": ""Surveillance alarme (trimestre)"", ""qty"": 1, ""pu_ht"": 290.0, ""total_ht"": 290.0}, {""description"": ""Maintenance système"", ""qty"": 1, ""pu_ht"": 150.0, ""total_ht"": 150.0}, {""description"": ""Badge accès (x5)"", ""qty"": 5, ""pu_ht"": 25.0, ""total_ht"": 125.0}]"
trap-date_paradox.pdf,2026-05-14T22:06:48,95,100,0.000517,1,,,,,,echeance 2024-08-14 < facture 2024-09-15,FA-2024-0102,2024-09-15,SECURITE PLUS SA,1425.0,285.0,1710.0,FR76 3000 6000 0112 3456 7890 189,2024-08-14,"[{""description"": ""Pose fenêtres double vitrage (x3)"", ""qty"": 3, ""pu_ht"": 380.0, ""total_ht"": 1140.0}, {""description"": ""Joints d'étanchéité"", ""qty"": 1, ""pu_ht"": 45.0, ""total_ht"": 45.0}, {""description"": ""Main d'oeuvre"", ""qty"": 1, ""pu_ht"": 240.0, ""total_ht"": 240.0}]"
trap-iban_ambiguous.pdf,2026-05-14T22:07:01,100,100,0.000516,0,,,,,,,FC-2024-0100,2024-03-09,MENUISERIE LEBLANC,427.0,85.4,512.4,FR76 3000 4028 3700 0100 7890 143,2024-04-23,"[{""description"": ""Livraison matériaux chantier"", ""qty"": 1, ""pu_ht"": 85.0, ""total_ht"": 85.0}, {""description"": ""Ciment sac 25kg (x20)"", ""qty"": 20, ""pu_ht"": 8.2, ""total_ht"": 164.0}, {""description"": ""Parpaings palette"", ""qty"": 2, ""pu_ht"": 89.0, ""total_ht"": 178.0}]"
trap-math_error.pdf,2026-05-14T22:07:06,95,100,0.000519,1,,,attendu 1710.00 affiché 1720.00,,,,FA-2024-0101,2024-07-27,PLOMBERIE MARTIN & FILS,1425.0,285.0,1720.0,FR76 3000 6000 0112 3456 7890 189,2024-08-26,"[{""description"": ""Pose fenêtres double vitrage (x3)"", ""qty"": 3, ""pu_ht"": 380.0, ""total_ht"": 1140.0}, {""description"": ""Joints d'étanchéité"", ""qty"": 1, ""pu_ht"": 45.0, ""total_ht"": 45.0}, {""description"": ""Main d'oeuvre"", ""qty"": 1, ""pu_ht"": 240.0, ""total_ht"": 240.0}]"
trap-missing_fields.pdf,2026-05-14T22:07:10,95,62,0.000496,0,,,,,,,,2024-12-17,MAINTENANCE INDUSTRIELLE ROUX,,85.4,512.4,,2025-01-31,"[{""description"": ""Livraison matériaux chantier"", ""qty"": 1, ""pu_ht"": 85.0, ""total_ht"": 85.0}, {""description"": ""Ciment sac 25kg (x20)"", ""qty"": 20, ""pu_ht"": 8.2, ""total_ht"": 164.0}, {""description"": ""Parpaings palette"", ""qty"": 2, ""pu_ht"": 89.0, ""total_ht"": 178.0}]"
trap-tva_mismatch.pdf,2026-05-14T22:07:15,95,100,0.000496,1,,,,affiché 20% mais calculé 10.0%,,,INV-2024-0103,2024-01-16,IMPRIMERIE CENTRALE,1190.0,119.0,1309.0,FR76 1420 6600 0120 0336 7890 071,2024-02-15,"[{""description"": ""Abonnement logiciel Pro (12 mois)"", ""qty"": 1, ""pu_ht"": 990.0, ""total_ht"": 990.0}, {""description"": ""Support technique prioritaire"", ""qty"": 1, ""pu_ht"": 200.0, ""total_ht"": 200.0}]"
